ページ番号,ページタイトル,COMS PDF該当ページ,分類,内容・備考,確認ステータス
1,表紙,1,書き換え（要修正）,トヨタ車体 コムス → Lean Mobility Lean3 に変更,未確認
2,目次,3,書き換え（要修正）,目次項目の変更: COMS仕様別装備を削除、Active Lean Technology関連を追加,未確認
3,イラスト目次（横・正面）,4,書き換え（要修正）,前2輪・後1輪の三輪配置に変更、各部品名称と参照ページを更新、Active Lean Technologyの傾斜機構図を追加,未確認
4,イラスト目次（背面）,5,書き換え（要修正）,トランクボックス/デリバリーボックス関連を削除、Lean3の収納を追加,未確認
5,運転者付近配置図・スピードメーター周辺の表示,6,書き換え（要修正）,タッチスクリーンディスプレイ配置、操作ボタン配置をLean3用に変更,未確認
6,知っておいていただきたいこと,7,書き換え（要修正）,本書の内容について、安全に関する表示（Lean3用に修正）,未確認
7,安全に関する表示,8,流用（そのまま使用）,警告・注意・お知らせの定義は流用可能,未確認
8,1. 必ず読みましょう - 確認しましたか？,9,書き換え（要修正）,タイヤサイズ変更（前後異なる）、Active Lean Technologyの注意事項追加,未確認
9,1. 必ず読みましょう - 確認しましたか？（続き）,10,書き換え（要修正）,三輪車両特有の点検項目を追加,未確認
10,1. 危険です！,11,書き換え（要修正）,高電圧部の説明をLFPバッテリー8.1kWhに変更、傾斜システムの警告追加,未確認
11,1. 危険です！（続き）,12,流用（そのまま使用）,危険物持ち込み禁止、インストルメントパネルに物を置かないなどは流用可能,未確認
12,1. 走行するときは！,13,書き換え（要修正）,Active Lean Technology の運転方法（最重要）を追加、傾斜時の注意事項,未確認
13,1. 走行するときは！（続き）,14,書き換え（要修正）,半回転ハンドル操作、最小回転半径3.6m、速度リミッター60km/hの説明,未確認
14,1. 走行するときは！（続き2）,15,書き換え（要修正）,雨天時・横風時の傾斜角制限、路面状況による制御変更,未確認
15,1. 走行するときは！（続き3）,16,流用（そのまま使用）,滑りやすい路面の注意、手足を車外へ出さないなどは流用可能,未確認
16,1. 点検を受けてください！,17,書き換え（要修正）,Active Lean Technologyの点検項目を追加、定期点検間隔の確認,未確認
17,1. 長くお使いいただくためには！,18,書き換え（要修正）,LFPバッテリーの管理方法に変更（SOC 20-80%推奨、過充電・過放電の基準変更）,未確認
18,2. 警告・使用方法ラベルの種類と貼付け位置,19,書き換え（要修正）,COMS固有ラベル削除、Active Lean Technology・タッチスクリーン関連ラベル追加,未確認
19,2. 警告ラベル（続き）,20,要確認（判断保留）,Lean3の実際のラベル画像と貼付位置図が必要,未確認
20,3. 充電について - (1)充電に関する装備(2)充電表示灯について,21,書き換え（要修正）,"LFPバッテリー8.1kWh、AC100V/AC200V充電対応に変更、物理LEDからタッチスクリーンディスプレイ表示に変更",未確認
21,3. (3)充電時の注意事項,22,書き換え（要修正）,リチウムイオン電池の注意事項に変更、温度管理（0℃以下・35℃以上）を追加,未確認
22,3. (3)充電時の注意事項（続き）,23,流用（そのまま使用）,100Vアース付きコンセント使用、屋内充電などは流用可能,未確認
23,3. (3)充電時の注意事項（続き2）,24,流用（そのまま使用）,充電コードの取り扱い注意は流用可能,未確認
24,3. (3)充電時の注意事項（続き3）,25,流用（そのまま使用）,充電中の車両の取り扱い注意事項は流用可能,未確認
25,3. (4)バッテリーを長持ちさせるための充電方法,26,削除（不要）,鉛バッテリー特有の「押し込み充電」は削除、LFP管理方法（SOC 20-80%推奨、満充電放置を避ける）に置き換え,未確認
26,3. (5)充電の方法,27,書き換え（要修正）,充電手順の基本は同じだが、物理表示灯→ディスプレイ表示に変更,未確認
27,3. (6)バッテリーについて,28,書き換え（要修正）,LFPバッテリーの特性、管理方法、廃棄方法に全面変更（長寿命、温度特性、リサイクル方法）,未確認
28,4. 安全装置（シートベルト）- 正しい着用,29,流用（そのまま使用）,3点式シートベルトの基本的な着用方法は流用可能,未確認
29,4. 3点式シートベルト,30,書き換え（要修正）,台湾仕様は2人乗り（助手席シートベルト・ISOFIXチャイルドシート）の説明を追加,未確認
30,4. 妊娠中・疾患のある方,31,流用（そのまま使用）,シートベルト着用時の注意事項は流用可能,未確認
31,5. 操作装置 - (1)メーターの見方,32,削除（不要）,アナログメーター（針式スピードメーター、8目盛バッテリー残量計）を削除、タッチスクリーンディスプレイに置き換え,未確認
32,5. (2)表示灯・警告灯の見方,33,書き換え（要修正）,物理ランプからディスプレイ内アイコン表示に変更、Active Lean Technology警告アイコンを追加,未確認
33,5. (3)視界の確保 - 前照灯,34,流用（そのまま使用）,前照灯の基本操作は流用可能（LED化により電球交換不要）,未確認
34,5. 視界の確保 - ワイパー・ウォッシャー・方向指示器,35,要確認（判断保留）,Lean3のワイパー・ウォッシャー・方向指示器の操作方法（レバー式かボタン式か）の詳細確認が必要,未確認
